Model,RMSE,MAE,R2,MAPE
Linear Regression,14.080571128298706,9.46775386291505,0.01194901938614723,2430183625862.4243
Ridge,14.08055371793973,9.467745518537948,0.011951462797208379,2430181041869.4507
Lasso,14.062515205446921,9.466693237711603,0.014481407260640289,2435151690176.333
Decision Tree,12.609574767839515,8.10786493150933,0.20760870796427222,1723971827879.1313
Random Forest,11.636877162308647,7.285755669884237,0.3251430700333784,1463401675626.0251
Gradient Boosting,11.857699991140052,7.6618048857530265,0.2992877204454829,1638754999373.036
